作品名稱,類型,製作廠商,發售日期,評分,人氣
窟窿騎士,動作,Team Cherry,2017/2/24,9.8,155
Undertale,角色扮演,tobyfox,2015/9/15,9.7,349
我的世界,其他,Mojang AB,2009/5/17,9.6,11853
上古卷軸 5：無界天際,角色扮演,Bethesda Game Studios,2011/11/11,9.6,2976
英雄傳說：碧之軌跡,角色扮演,Falcom,2013/4/12,9.6,2176
巫師 3：狂獵,角色扮演,CD Projekt RED,2015/5/19,9.6,1671
Little Busters!,冒險,Visual Art's/Key,2007/7/27,9.6,776
CLANNAD,冒險,Key,2004/4/28,9.6,614
聖靈之光,冒險,Moon Studios GmbH,2015/3/11,9.6,365
星露谷物語,角色扮演,ConcernedApe,2016/2/27,9.6,359
Ever17：時光的羈絆（中文版）,冒險,KID,2004/1/8,9.6,284
幻想之詩,角色扮演,天使遊戲設計團隊,2013/9/6,9.6,267
魔法使之夜,冒險,Type-Moon,2012/4/12,9.6,261
RPG 製作大師 MV,其他,Kadokawa Games&Yoji Ojima,2015/10/23,9.6,213
英雄傳說 空之軌跡 SE 終回特典,角色扮演,Falcom,2011/12/20,9.6,192
史萊姆農場,策略模擬,Monomi Park,2016/1/15,9.6,132
鋼鐵雄心 4,策略模擬,Paradox Development Studio,2016/6/6,9.6,130
恆星戰役,策略模擬,Paradox Development Studio,2016/5/9,9.6,97
俠盜獵車手 5,動作,Rockstar North,2015/4/14,9.5,9488
英雄傳說 零之軌跡,角色扮演,Falcom,2011/9/10,9.5,2441
