Rank,Name,Type,Coperation,Date,Rate,Pop
1,Hollow Knight,Action,Team Cherry,2017/2/24,9.8,155
2,Undertale,RPG,tobyfox,2015/9/15,9.7,349
3,Minecraft,Others,Mojang AB,2009/5/17,9.6,11853
4,The Elder Scrolls V: Skyrim,RPG,Bethesda Game Studios,2011/11/11,9.6,2976
5,The Legend of Heroes: Trails of Blue Flame,RPG,Falcom,2013/4/12,9.6,2176
6,The Witcher 3: Wild Hunt,RPG,CD Projekt RED,2015/5/19,9.6,1671
7,Little Busters!,Adventure,Visual Art's/Key,2007/7/27,9.6,776
8,CLANNAD,Adventure,Key,2004/4/28,9.6,614
9,Ori and the Blind Forest,Adventure,Moon Studios GmbH,2015/3/11,9.6,365
10,Stardew Valley,RPG,ConcernedApe,2016/2/27,9.6,359
11,Ever17 -the out of infinity-,Adventure,KID,2004/1/8,9.6,284
12,Fantasy Poem,RPG,Angel Game Design,2013/9/6,9.6,267
13,Witch on the Holy Night,Adventure,Type-Moon,2012/4/12,9.6,261
14,RPG Maker MV,Others,Kadokawa Games&Yoji Ojima,2015/10/23,9.6,213
15,The Legend of Heroes 6: Sora No Kiseki Special Edition,RPG,Falcom,2011/12/20,9.6,192
16,Slime Rancher,Stragety,Monomi Park,2016/1/15,9.6,132
17,Hearts of Iron IV,Stragety,Paradox Development Studio,2016/6/6,9.6,130
18,Stellaris,Stragety,Paradox Development Studio,2016/5/9,9.6,97
19,Grand Theft Auto 5,Action,Rockstar North,2015/4/14,9.5,9488
20,The Legend of Heroes: Zero No Kiseki,RPG,Falcom,2011/9/10,9.5,2441
